Issue Key,Summary,Issue Type,Status,Priority,Assignee,Reporter,Created,Updated,Due Date,Sprint,Labels,Components,Story Points,Fix Version,Description
PROJ-1,Onboarding - Setup user account creation flow,Story,In Progress,High,alice,bob,20/May/26 9:00 AM,23/May/26 4:30 PM,26/May/26,1,onboarding,Backend,5,v2.1,Setup the account creation API
PROJ-2,Onboarding - Email verification service,Story,Done,High,alice,bob,18/May/26 10:00 AM,24/May/26 2:00 PM,22/May/26,1,onboarding,Backend,3,v2.1,Email verification flow
PROJ-3,Onboarding - Welcome email template,Task,In Progress,Medium,carol,bob,19/May/26 11:00 AM,25/May/26 9:15 AM,25/May/26,1,onboarding,Frontend,2,v2.1,Design welcome email
PROJ-4,Onboarding - Profile setup wizard,Story,To Do,High,dave,alice,20/May/26 8:00 AM,24/May/26 11:00 AM,27/May/26,1,onboarding,Frontend,8,v2.1,Multi-step profile wizard
PROJ-5,Onboarding - Role assignment on signup,Task,In Progress,High,eve,alice,21/May/26 9:00 AM,25/May/26 10:45 AM,26/May/26,1,onboarding,Backend,3,v2.1,Auto-assign roles during signup
PROJ-6,Onboarding - Tutorial walkthrough UI,Story,To Do,Medium,carol,bob,22/May/26 10:00 AM,22/May/26 10:00 AM,30/May/26,1,onboarding,Frontend,5,v2.1,Interactive tutorial for new users
PROJ-7,Onboarding - SSO integration,Story,Blocked,Critical,frank,alice,15/May/26 9:00 AM,23/May/26 3:00 PM,24/May/26,1,onboarding blocker,Backend,13,v2.1,SSO blocked by vendor API issue
PROJ-8,Onboarding - Data migration for legacy users,Task,In Progress,High,dave,bob,17/May/26 8:00 AM,25/May/26 8:00 AM,28/May/26,1,onboarding,Backend,8,v2.1,Migrate legacy user data
PROJ-9,Payment gateway integration,Story,In Progress,Critical,frank,carol,10/May/26 9:00 AM,24/May/26 5:00 PM,25/May/26,1,blocker,Backend,13,v2.1,Stripe integration blocked by compliance review
PROJ-10,Payment - Refund workflow,Story,To Do,High,eve,bob,20/May/26 9:00 AM,20/May/26 9:00 AM,29/May/26,1,,Backend,5,v2.1,Refund processing workflow
PROJ-11,Dashboard - KPI widgets,Story,In Progress,Medium,carol,bob,18/May/26 10:00 AM,25/May/26 11:00 AM,27/May/26,1,,Frontend,5,v2.1,Build KPI dashboard widgets
PROJ-12,Dashboard - Export to PDF,Task,To Do,Low,grace,bob,21/May/26 9:00 AM,21/May/26 9:00 AM,02/Jun/26,1,,Frontend,3,v2.1,PDF export for reports
PROJ-13,Reporting - Monthly summary report,Story,Done,Medium,grace,bob,12/May/26 9:00 AM,22/May/26 4:00 PM,20/May/26,1,,Backend,5,v2.1,Auto-generate monthly reports
PROJ-14,Reporting - Custom date range filter,Task,In Progress,Medium,henry,bob,19/May/26 10:00 AM,24/May/26 2:30 PM,28/May/26,1,,Frontend,3,v2.1,Date range picker for reports
PROJ-15,Notifications - Push notification service,Story,Blocked,High,frank,bob,14/May/26 9:00 AM,22/May/26 1:00 PM,23/May/26,1,blocker,Backend,8,v2.1,Blocked: Firebase quota exceeded
PROJ-16,Notifications - Email digest,Task,Done,Medium,alice,bob,13/May/26 9:00 AM,21/May/26 3:00 PM,19/May/26,1,,Backend,3,v2.1,Daily email digest
PROJ-17,Notifications - In-app alerts,Task,In Progress,Medium,carol,bob,20/May/26 9:00 AM,25/May/26 7:30 AM,27/May/26,1,,Frontend,3,v2.1,Real-time in-app alerts
PROJ-18,Search - Full-text search indexing,Story,To Do,High,henry,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,31/May/26,1,,Backend,8,v2.1,Elasticsearch indexing
PROJ-19,Search - Autocomplete suggestions,Task,To Do,Medium,grace,bob,22/May/26 10:00 AM,22/May/26 10:00 AM,01/Jun/26,1,,Frontend,3,v2.1,Search autocomplete UI
PROJ-20,Auth - MFA implementation,Story,In Progress,Critical,frank,bob,16/May/26 9:00 AM,25/May/26 12:00 PM,26/May/26,1,,Backend,8,v2.1,TOTP-based MFA
PROJ-21,Auth - Session timeout policy,Task,Done,Medium,eve,bob,14/May/26 9:00 AM,20/May/26 4:00 PM,18/May/26,1,,Backend,2,v2.1,Configurable session timeout
PROJ-22,Auth - Password reset flow,Task,Done,High,alice,bob,13/May/26 9:00 AM,19/May/26 2:00 PM,17/May/26,1,,Backend,3,v2.1,Secure password reset
PROJ-23,API - Rate limiting,Story,In Progress,High,henry,frank,18/May/26 9:00 AM,24/May/26 3:00 PM,27/May/26,1,,Backend,5,v2.1,API rate limiting middleware
